epoch,tput_uerr,protocol,tput_u,bandwidth,mcs_type,tput_d,avg_mcs,tx_bitrate,client_dl,pq_retried,ttl,rx_retries,avg_util_all,band,tput,tx_rate,client_tx_airtime,avg_util_rx_other_bss,rx_bytes,wirelink_dl_mbps,pq_dropped,upload,connect_time_sec,tput_theta1,tput_theta0,last_seen,sum_txpkts,wan_dl,download,rt,avg_util_rx_in_bss,tput_derr,roam_count,avg_util_tx,pq_airuse,rx_bps,rx_bitrate,pq_throughput,num_streams,pq_requested,avg_noise,tput_theta2,wirelink_up_mbps,pq_rtsfail,avg_rssi,os,error_rate,jitter,family,rx_rate,tput_airtime_rx,tx_bps,chanutil_intf,client_txrx_bw,free_bw,available_bw,tx_pkts,rssi,manufacture,rx_pkts,idle_time,dual_band,vlan_id,num_locating_aps,latency,uptime,proto,tx_retries,ping,tput_airtime_tx,tput_max,key_mgmt,channel,tx_power_max,avg_nclients,mcs_drops,avg_util_non_wifi,pq_max_used,tput_max_u,snr,tx_bytes,sum_active,avg_util_unknown_wifi,avg_snr,pq_length,tx_power,id
1512499292,53.30913747,ac,190.5747025,40,VHT,211.7496694,17,400,211.7496694,468,225,19360,0.3609762,5,20,324,0,0.199551035,439851786,112.9931896,0,26.261,357,5,270.5426937,1512499217,11299,112.9931896,140.222,1512499200,0.061440202,53.30913747,0,0.082675705,831,31223102,400,20381,2,11757,-92,-80,53.86039832,123,-59,Windows 10,6.33E-04,1.333333333,,360,0.794421667,762650,0.216860294,4,25.56095198,26.48997999,889580,-59,Hon Hai Precision Ind. Co.,349712,0,TRUE,1,1,4,327,ac,147992,6,0.794421667,266.5456874,WPA2-PSK/CCMP,44,8,9,0,6.21E-04,47,266.5456874,33,2317836666,1,0.016688246,33,576,8,441ca8e1f193
1512499329,53.30913747,ac,190.5747025,40,VHT,211.7496694,17,400,211.7496694,468,279,23968,0.3609762,5,20,324,0,0.199551035,539410649,112.9931896,0,25.053,357,5,270.5426937,1512499308,11299,112.9931896,152.508,1512499200,0.061440202,53.30913747,0,0.082675705,831,1882470,400,20381,2,11757,-92,-80,53.86039832,123,-59,Windows 10,6.33E-04,2,,400,0.794421667,129433080,0.216860294,4,25.56095198,26.48997999,1147372,-61,Hon Hai Precision Ind. Co.,444757,0,TRUE,1,1,4,417,ac,196263,4,0.794421667,266.5456874,WPA2-PSK/CCMP,44,8,9,0,6.21E-04,47,266.5456874,31,3019317992,1,0.016688246,33,576,8,441ca8e1f193
1512496658,90.30213237,ac,311.3443322,40,VHT,345.9381469,26,407,345.9381469,3073,243,75391,0.506123287,5,15,405,0,0.13404006,2241037662,35.61483427,14,64.43,1470,5,458.9548582,1512496601,22683,35.61483427,56.243,1512496620,0.111141195,90.30213237,0,0.212232828,455,410448,133,15019,3,15618,-85,-69.05592365,16.97650245,40,-48,Windows 10,0.006749601,2.111111111,,24,0.766161716,38874661,0.182749263,10,19.75506853,27.72032728,876389,-49,Hon Hai Precision Ind. Co.,827136,0,TRUE,1,1,8,1443,ac,189990,5,0.766161716,451.5106618,WPA2-PSK/CCMP,153,10,4,0,0.004738144,319,451.5106618,38,1529064396,1,0.04397106,37,576,10,441ca8e1f193
1512496696,89.74981629,ac,301.7764095,40,VHT,335.3071217,26,421,335.3071217,2533,206,75391,0.469314479,5,10,405,0,0.137315662,2241037662,33.59111353,9,61.96,1488,5,458.4424544,1512496601,33693,33.59111353,172.686,1512496620,0.105219752,89.74981629,0,0.156729969,457,410448,224,10478,3,17025,-85,-68.10631657,16.01185666,51,-48,Windows 10,0.006732239,3.777777778,,24,0.746955814,38874661,0.207364757,8,21.22742085,26.92800898,876389,-49,Hon Hai Precision Ind. Co.,827136,0,TRUE,1,1,7,1443,ac,189990,5,0.746955814,448.7490814,WPA2-PSK/CCMP,153,10,4,0,0.015462228,242,448.7490814,38,1529064396,2,0.054586867,37,576,10,441ca8e1f193
1512408984,56.14785129,ac,196.253909,40,VHT,218.0598988,17,248,218.0598988,13435,,,0.484120844,5,18,,0,0.146648263,,75.50317097,0,,1181,5,389.4584823,,35761,75.50317097,22.161,1512408000,0.091180436,56.14785129,0,0.208942542,334,,279,18551,3,10633,-86,-70,4.40435164,265,-65,,0.017467821,3.111111111,,,0.776385358,,0.183997866,10,20.63516623,28.34604602,,,,,,,,,12,,,,4,0.776385358,280.7392565,,161,10,4,0,0.010174788,117,280.7392565,,,4,0.027174815,21,576,9,
1512409021,56.14785129,ac,196.253909,40,VHT,218.0598988,17,248,218.0598988,13435,,,0.484120844,5,18,,0,0.146648263,,75.50317097,0,,1181,5,389.4584823,,35761,75.50317097,37.288,1512408000,0.091180436,56.14785129,0,0.208942542,334,,279,18551,3,10633,-86,-70,4.40435164,265,-65,,0.017467821,88.22222222,,,0.776385358,,0.183997866,10,20.63516623,28.34604602,,,,,,,,,12,,,,4,0.776385358,280.7392565,,161,10,4,0,0.010174788,117,280.7392565,,,4,0.027174815,21,576,9,
1512498691,39.70843652,ac,142.5823277,40,VHT,158.4248085,16,270,158.4248085,19941,262,239224,0.804017167,5,112,270,0,0.072057378,3114099177,114.7587065,0,35.098,1673,5,247.2199905,1512498654,46174,114.7587065,74.641,1512498600,0.028501625,39.70843652,0,0.690058497,633,48714639,270,112112,2,46145,-92,-71.02889174,54.70196626,309,-64,Windows 10,0.012549539,0.777777778,,243,0.797940299,1118041,0.085457046,28,7.839313308,34.08357845,2736438,-62,Hon Hai Precision Ind. Co.,1596494,0,TRUE,1,1,10,1693,ac,1251628,5,0.797940299,198.5421826,WPA2-PSK/CCMP,149,16,1,0,9.40E-04,47,198.5421826,30,5801955565,1,0.0124597,28,576,14,441ca8e1f193
1512498729,45.15160292,ac,156.3334351,40,VHT,173.7038168,17,300,173.7038168,1866,224,239224,0.217131787,5,0,270,0,0.159708166,3114099177,116.5802716,0,38.508,1733,5,246.9167759,1512498654,11537,116.5802716,30.949,1512498660,2.93E-05,45.15160292,0,0.012310781,1610,48714639,24,545,2,15298,-90,-73.83704816,55.57025061,455,-62,Windows 10,0.012108391,0.777777778,,243,0.769424807,1118041,0.204791714,0,31.31472851,29.807289,2736438,-62,Hon Hai Precision Ind. Co.,1596494,0,TRUE,1,1,1,1693,ac,1251628,3,0.769424807,225.7580146,WPA2-PSK/CCMP,149,16,1,0,0.004024829,19,225.7580146,30,5801955565,0,0.041058719,28,576,16,441ca8e1f193
1512499105,50.67278589,ac,180.3791717,40,VHT,200.4213019,18,360,200.4213019,801,222,6715,0.454896846,5,0,400,0,0.10873808,185751022,116.5802716,0,19.284,179,5,257.1632677,1512499027,11152,116.5802716,147.299,1512499020,0.166893339,50.67278589,0,0.158200072,2467,24803453,324,532,2,13076,-90,-80,55.57025061,458,-59,Windows 10,8.16E-04,8.333333333,,400,0.791041181,589209,0.129803435,9,21.80412618,28.07108838,380198,-60,Hon Hai Precision Ind. Co.,151157,0,TRUE,1,1,0,139,ac,55790,5,0.791041181,253.3639294,WPA2-PSK/CCMP,44,8,9,0,0.003637816,11,253.3639294,32,992534386,0,0.017427539,31,576,8,441ca8e1f193
1512499142,51.98580554,ac,180.487749,40,VHT,200.5419434,18,360,200.5419434,10587,275,12993,0.722611847,5,122,300,0,0.331100368,285373260,111.281163,0,24.956,238,5,262.5417916,1512499117,49348,111.281163,133.586,1512499080,0.019602713,51.98580554,0,0.329159622,581,1030575,24,122375,2,49217,-92,-80,53.0443276,272,-57,Windows 10,7.84E-04,0.888888889,,400,0.771525771,78199477,0.373849512,13,11.09552613,20.74134305,619618,-60,Hon Hai Precision Ind. Co.,237962,0,TRUE,1,1,8,228,ac,101888,5,0.771525771,259.9290277,WPA2-PSK/CCMP,44,8,9,0,0.003740916,47,259.9290277,32,1635701380,0,0.039008228,35,576,8,441ca8e1f193
1512498918,47.5497107,ac,164.4266368,40,VHT,182.6962631,17,300,182.6962631,2448,216,255730,0.652018877,5,0,270,0,0.16649589,3454825794,114.7587065,0,22.62,1911,5,246.4350623,1512498834,14485,114.7587065,113.884,1512498840,0.318828997,47.5497107,0,0.120519787,1904,22847337,216,709,2,19603,-91,-77.54721252,54.70196626,794,-60,Windows 10,0.011216944,4,,243,0.768443216,7142734,0.212670094,11,13.91924491,23.71348056,3097320,-62,Hon Hai Precision Ind. Co.,1784417,0,TRUE,1,1,1,1871,ac,1385310,6,0.768443216,237.7485535,WPA2-PSK/CCMP,149,16,1,0,0.001127128,47,237.7485535,27,6608298110,1,0.045047076,31,576,15,441ca8e1f193
